1: np4PN/pp4PP/8/8/8/8/PP4pp/NP4pn w g1 -> f1
51: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
52: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
53: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
54: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
55: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
56: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
57: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
58: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
59: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
60: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
61: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
62: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
63: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
64: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
65: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
66: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
67: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
68: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
69: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
70: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
71: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
72: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
73: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
74: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
75: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
76: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
77: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
78: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
79: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
80: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
81: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
82: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
83: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
84: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
85: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
86: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
87: 8/2p2P2/2n3P1/3n4/7N/2N3p1/2P2p2/8 w h5 -> h3
88: 8/2p2P2/2n3PN/3n4/8/2N3p1/2P2p2/8 b d4 -> d6
89: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
90: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b f7 -> f8
91: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P5/5p2 w g3 -> g4
92: 8/2p2P2/2n5/6P1/7N/2Nn2p1/2P5/5p2 b c2 -> b2
Stalemate
