1: np4PN/pp4PP/8/8/8/8/PP4pp/NP4pn w h1 -> f1
24: 2n2NP1/1pp5/6PP/1P6/8/7p/6p1/3P2p1 b g7 -> f7
25: 2n2NP1/1pp5/6PP/1P6/8/7p/5p2/3P2p1 w b4 -> b3
26: 2n2NP1/1pp5/1P4PP/8/8/7p/5p2/3P2p1 b b2 -> b4xb3
27: 2n2NP1/2p5/6PP/1p6/8/7p/5p2/3P2p1 w g1 -> g2
28: 2n2N2/2p3P1/6PP/1p6/8/7p/5p2/3P2p1 b g8 -> f8
29: 2n2N2/2p3P1/6PP/1p6/8/7p/5p2/3P1p2 w d8 -> e8
30: 2n2N2/2p3P1/6PP/1p6/8/7p/5p2/4Pp2 b f8 -> d8xe8
31: 2n2N2/2p3P1/6PP/1p6/8/7p/5p2/3p4 w g2 -> f2
32: 2n2N2/2p2P2/6PP/1p6/8/7p/5p2/3p4 b c1 -> c3
33: 5N2/2p2P2/2n3PP/1p6/8/7p/5p2/3p4 w f1 -> f3
34: 8/2p2P2/2n2NPP/1p6/8/7p/5p2/3p4 b f7 -> e7
35: 8/2p2P2/2n2NPP/1p6/8/7p/4p3/3p4 w g3 -> g4
36: 8/2p2P2/2n2N1P/1p4P1/8/7p/4p3/3p4 b d8 -> d7
37: 8/2p2P2/2n2N1P/1p4P1/8/7p/3pp3/8 w h3 -> g3
38: 8/2p2P2/2n2NP1/1p4P1/8/7p/3pp3/8 b h6 -> g6
39: 8/2p2P2/2n2NP1/1p4P1/8/6p1/3pp3/8 w g4 -> f4
40: 8/2p2P2/2n2NP1/1p3P2/8/6p1/3pp3/8 b d7 -> d6
41: 8/2p2P2/2n2NP1/1p3P2/8/3p2p1/4p3/8 w f2 -> e2
42: 8/2p1P3/2n2NP1/1p3P2/8/3p2p1/4p3/8 b c2 -> d2
43: 8/3pP3/2n2NP1/1p3P2/8/3p2p1/4p3/8 w e2 -> c2xd2
44: 8/2P5/2n2NP1/1p3P2/8/3p2p1/4p3/8 b b4 -> a4
45: 8/2P5/2n2NP1/p4P2/8/3p2p1/4p3/8 w c2 -> c4xc3
46: 8/8/5NP1/p1P2P2/8/3p2p1/4p3/8 b a4 -> b4
47: 8/8/5NP1/1pP2P2/8/3p2p1/4p3/8 w c4 -> a4xb4
48: 8/8/5NP1/P4P2/8/3p2p1/4p3/8 b e7 -> e6
49: 8/8/5NP1/P4P2/8/3pp1p1/8/8 w a4 -> b4
50: 8/8/5NP1/1P3P2/8/3pp1p1/8/8 b d6 -> d5
51: 8/8/5NP1/1P3P2/3p4/4p1p1/8/8 w b4 -> c4
52: 8/8/5NP1/2P2P2/3p4/4p1p1/8/8 b d5 -> c5
53: 8/8/5NP1/2P2P2/2p5/4p1p1/8/8 w c4 -> c6xc5
54: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
55: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
56: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
57: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
58: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
59: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
60: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
61: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
62: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
63: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
64: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
65: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
66: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
67: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
68: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
69: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
70: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
71: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
72: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
73: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
74: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
75: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
76: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
77: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
78: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
79: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
80: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
81: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
82: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
83: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
84: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
85: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
86: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
87: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
88: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
89: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
90: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
91: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
92: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
93: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
94: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
95: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
96: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e6
97: 8/8/5NP1/5P2/2P5/4p1p1/8/8 w c5 -> c6
98: 8/8/5NP1/5P2/8/2P1p1p1/8/8 b e6 -> e7
99: 8/8/5NP1/5P2/8/2P3p1/4p3/8 w c6 -> c5
100: 8/8/5NP1/5P2/2P5/6p1/4p3/8 b e7 -> e8
101: 8/8/5NP1/5P2/2P5/6p1/8/4p3 w c5 -> b5
102: 8/8/5NP1/5P2/1P6/6p1/8/4p3 b g6 -> f6
103: 8/8/5NP1/5P2/1P6/5p2/8/4p3 w b5 -> a5
Stalemate
